judge,N,seed,rstar_iso
falcon-7b-instruct,100,0,0.46
falcon-7b-instruct,100,1,0.44999999999999984
falcon-7b-instruct,100,2,0.3899999999999999
falcon-7b-instruct,100,3,0.4000000000000001
falcon-7b-instruct,100,4,0.47
falcon-7b-instruct,100,5,0.4100000000000001
falcon-7b-instruct,100,6,0.42
falcon-7b-instruct,100,7,0.40000000000000013
falcon-7b-instruct,100,8,0.42
falcon-7b-instruct,100,9,0.49000000000000005
falcon-7b-instruct,100,10,0.43999999999999984
falcon-7b-instruct,100,11,0.4700000000000002
falcon-7b-instruct,100,12,0.43
falcon-7b-instruct,100,13,0.42
falcon-7b-instruct,100,14,0.41999999999999993
falcon-7b-instruct,100,15,0.4599999999999999
falcon-7b-instruct,100,16,0.4100000000000001
falcon-7b-instruct,100,17,0.43000000000000005
falcon-7b-instruct,100,18,0.42
falcon-7b-instruct,100,19,0.46
falcon-7b-instruct,100,20,0.4
falcon-7b-instruct,100,21,0.46
falcon-7b-instruct,100,22,0.45999999999999985
falcon-7b-instruct,100,23,0.43000000000000016
falcon-7b-instruct,100,24,0.35
falcon-7b-instruct,100,25,0.41000000000000014
falcon-7b-instruct,100,26,0.37
falcon-7b-instruct,100,27,0.45000000000000007
falcon-7b-instruct,100,28,0.44
falcon-7b-instruct,100,29,0.47
falcon-7b-instruct,100,30,0.4200000000000001
falcon-7b-instruct,100,31,0.4699999999999999
falcon-7b-instruct,100,32,0.45000000000000007
falcon-7b-instruct,100,33,0.36000000000000015
falcon-7b-instruct,100,34,0.4299999999999999
falcon-7b-instruct,100,35,0.46
falcon-7b-instruct,100,36,0.39000000000000007
falcon-7b-instruct,100,37,0.45
falcon-7b-instruct,100,38,0.3199999999999999
falcon-7b-instruct,100,39,0.44000000000000006
falcon-7b-instruct,100,40,0.44999999999999996
falcon-7b-instruct,100,41,0.42999999999999994
falcon-7b-instruct,100,42,0.47
falcon-7b-instruct,100,43,0.37000000000000016
falcon-7b-instruct,100,44,0.38000000000000006
falcon-7b-instruct,100,45,0.4
falcon-7b-instruct,100,46,0.3800000000000001
falcon-7b-instruct,100,47,0.39000000000000007
falcon-7b-instruct,100,48,0.42000000000000015
falcon-7b-instruct,100,49,0.4600000000000001
falcon-7b-instruct,100,50,0.45
falcon-7b-instruct,100,51,0.43999999999999995
falcon-7b-instruct,100,52,0.4600000000000001
falcon-7b-instruct,100,53,0.3999999999999999
falcon-7b-instruct,100,54,0.42999999999999994
falcon-7b-instruct,100,55,0.47
falcon-7b-instruct,100,56,0.44
falcon-7b-instruct,100,57,0.4700000000000001
falcon-7b-instruct,100,58,0.4099999999999999
falcon-7b-instruct,100,59,0.37000000000000005
falcon-7b-instruct,100,60,0.3299999999999999
falcon-7b-instruct,100,61,0.44999999999999996
falcon-7b-instruct,100,62,0.38
falcon-7b-instruct,100,63,0.46
falcon-7b-instruct,100,64,0.39000000000000007
falcon-7b-instruct,100,65,0.44000000000000017
falcon-7b-instruct,100,66,0.42000000000000015
falcon-7b-instruct,100,67,0.43
falcon-7b-instruct,100,68,0.39
falcon-7b-instruct,100,69,0.4000000000000001
falcon-7b-instruct,100,70,0.36999999999999994
falcon-7b-instruct,100,71,0.45
falcon-7b-instruct,100,72,0.40999999999999986
falcon-7b-instruct,100,73,0.37
falcon-7b-instruct,100,74,0.3999999999999999
falcon-7b-instruct,100,75,0.44
falcon-7b-instruct,100,76,0.44
falcon-7b-instruct,100,77,0.37999999999999995
falcon-7b-instruct,100,78,0.42999999999999994
falcon-7b-instruct,100,79,0.44
falcon-7b-instruct,100,80,0.4099999999999999
falcon-7b-instruct,100,81,0.42
falcon-7b-instruct,100,82,0.4199999999999999
falcon-7b-instruct,100,83,0.3600000000000001
falcon-7b-instruct,100,84,0.44
falcon-7b-instruct,100,85,0.3999999999999999
falcon-7b-instruct,100,86,0.5
falcon-7b-instruct,100,87,0.4100000000000001
falcon-7b-instruct,100,88,0.4100000000000001
falcon-7b-instruct,100,89,0.42
falcon-7b-instruct,100,90,0.4
falcon-7b-instruct,100,91,0.44
falcon-7b-instruct,100,92,0.4700000000000001
falcon-7b-instruct,100,93,0.42
falcon-7b-instruct,100,94,0.45000000000000007
falcon-7b-instruct,100,95,0.4200000000000001
falcon-7b-instruct,100,96,0.45
falcon-7b-instruct,100,97,0.42999999999999994
falcon-7b-instruct,100,98,0.3600000000000001
falcon-7b-instruct,100,99,0.3900000000000001
falcon-7b-instruct,150,0,0.47333333333333355
falcon-7b-instruct,150,1,0.4533333333333333
falcon-7b-instruct,150,2,0.37333333333333335
falcon-7b-instruct,150,3,0.46666666666666656
falcon-7b-instruct,150,4,0.43333333333333324
